Text,Sentimen
berprestasi,1
bersabar,1
bersahabat,1
bersahaja,1
bersalam-salaman,1
bersalaman,1
bersama,1
bersama-sama,1
bersatu,1
bersatu padu,1
bersedia,1
bersedia melakukan,1
bersemangat,1
bersemangat meluap-luap,1
bersenang-senang,1
bersenda gurau,1
berseri,1
bersesuaian,1
bersifat dermawan,1
bersifat mendamaikan,1
bersih,1
bersilaturahmi,1
bersimpati,1
bersinar,1
bersinergi,1
bersopan santun,1
bersorak,1
bersorak sorai,1
bersosialisasi,1
bersubsidi,1
bersuka cita,1
bersuka ria,1
bersukaria,1
bersyukur,1
bertahan,1
bertahap,1
bertalenta,1
bertanggung jawab,1
bertasawuf,1
bertasbih,1
bertasyakur,1
bertaubat,1
bertawakal,1
bertekad,1
bertekun,1
bertepa salira,1
berterima kasih,1
berterimakasih,1
berterus terang,1
bertobat,1
beruntung,1
berupaya,1
berusaha,1
berwarna ria,1
berwawasan,1
berwibawa,1
berzakat,1
berzikir,1
besar,1
besar sekali,1
betul,1
bhinneka,1
biaya rendah,1
bibit unggul,1
bijak,1
bijaksana,1
bikin cemburu,1
bimbingan,1
bintang,1
bintang kelas,1
bintang lapangan,1
bintang panggung,1
bintang rock,1
bisa,1
bisa digunakan,1
bisa diterapkan,1
bismillah,1
boleh juga,1
bombastis,1
bonafid,1
bonafide,1
bonafit,1
bonus,1
boros,1
brilian,1
buah hati,1
buah karya,1
budi pekerti,1
budiman,1
bungkar,1
cahaya,1
cahaya redup,1
cakap,1
cakep,1
canggih,1
cantik,1
cashbacks,1
cekatan,1
cemas,1
cemerlang,1
cendekia,1
cendekiawan,1
cepat,1
cepat sembuh,1
cerah,1
cerdas,1
cerdik,1
cergas,1
ceria,1
cermat,1
cermati,1
cetar,1
cetar membahana,1
cinta,1
cita,1
cita-cita,1
cocok,1
contoh,1
cukup,1
cukup besar,1
cukuplah,1
cuma-cuma,1
damai,1
dapat diandalkan,1
dapat dicapai,1
dapat diganti,1
dapat dipercaya,1
dapat diraih,1
dapat disesuaikan,1
daur ulang,1
daya guna,1
daya gunakan,1
daya tarik,1
daya upaya,1
decak kagum,1
demokrasi,1
demokratis,1
dengan mewah,1
dengan senang hati,1
dengan sopan,1
dermawan,1
devisa,1
dewasa,1
diakses,1
diaktifkan,1
diakui,1
diakurkan,1
diam,1
diamini,1
diaminkan,1
diandalkan,1
dianggap baik,1
dianjurkan,1
dianugerahi,1
dianugerahkan,1
dianugrahkan,1
diarahkan,1
dibaca,1
dibaguskan,1
dibahagiakan,1
dibaikkan,1
dibanggakan,1
dibantu,1
dibebaskan,1
dibekali,1
dibekalkan,1
dibela,1
dibenahi,1
diberdayakan,1
diberikan,1
diberitahu,1
dibersihkan,1
dibina,1
dibuat dengan baik,1
dicapai,1
dicerdaskan,1
diceriakan,1
dicermati,1
dicermatkan,1
didamaikan,1
didaur ulang,1
didayagunakan,1
didayaupayakan,1
didik,1
didominasi,1
didonasikan,1
didonorkan,1
didukung,1
diedukasi,1
diedukasikan,1
diefektifkan,1
difavoritkan,1
digalakkan,1
digandrungi,1
diganggu gugat,1
diganti oleh pengguna,1
digapai,1
digratiskan,1
digunakan,1
dihadiahi,1
dihadiahkan,1
dihargai,1
diharmoniskan,1
dihemat,1
dihibur,1
dihijaukan,1
dihormati,1
diinginkan,1
diizinkan,1
dikaji kembali,1
dikakgumi,1
dikaruniai,1
dikaruniakan,1
dikaryakan,1
dikasihi,1
dikejar,1
dikelola,1
dikelola dengan baik,1
dikembalikan,1
diketahui,1
diklarifikasi,1
dikokohkan,1
dikukuhkan,1
dilancarkan,1
dilanggengkan,1
dilapangi,1
dilapangkan,1
dilayari,1
dilegakan,1
dilengkapi,1
dilepas,1
dilerai,1
dilestarikan,1
dilihat,1
dilimpahkan,1
dilindungi,1
diluhurkan,1
dilunasi,1
dimaafkan,1
dimenangkan,1
dimengerti,1
dimerdekakan,1
diminati,1
dimotivasi,1
dimudahkan,1
dimuliakan,1
dinamis,1
dioptimalkan,1
dipahami,1
dipathui,1
dipatuhi,1
dipelajari,1
dipenuhi,1
diperbagus,1
diperbaharui,1
diperbaiki,1
diperbantukan,1
diperbarui,1
diperbenar,1
dipercakap,1
dipercakep,1
dipercanggih,1
dipercantik,1
dipercaya,1
dipercepat,1
diperdamai,1
diperelok,1
dipererat,1
diperkenankan,1
diperlancar,1
diperlapang,1
dipermudah,1
diperoleh,1
dipersatukan,1
dipersolid,1
dipertampan,1
diplomatik,1
dipoles,1
diprioritaskan,1
diproses,1
dipuaskan,1
dipulihkan,1
diraih,1
dirampungkan,1
dirangkul,1
dirapihkan,1
dirapikan,1
dirawat,1
direformasi,1
direkomendasikan,1
diremajakan,1
direnungi,1
direnungkan,1
direstrukturisasi,1
direstui,1
diridai,1
diridhai,1
diridhoi,1
diridoi,1
dirohmati,1
dirukunkan,1
disadarkan,1
disahkan,1
disanjung,1
disanjung-sanjung,1
disantuni,1
disapu bersih,1
disatukan,1
disayangi,1
disederhanakan,1
diserahkan,1
disetujui,1
disingsingkan,1
disolidkan,1
distabilkan,1
disterilkan,1
distimulasi,1
disubsidi,1
disucikan,1
disukai,1
disukseskan,1
disyukuri,1
ditaati,1
ditabahkan,1
ditambah lagi,1
ditauladani,1
ditegakkan,1
ditekuni,1
diteladani,1
ditenangkan,1
ditenteramkan,1
ditentramkan,1
ditepati,1
diterangi,1
diterima,1
diterima dengan baik,1
ditertibkan,1
ditindaklanjuti,1
ditingkatkan,1
ditolong,1
dituntun,1
diunggulkan,1
diuntungkan,1
diupayakan,1
diusahakan,1
diutamakan,1
diverifikasi,1
doakan,1
donasi,1
donatur,1
donor,1
dorong,1
dorongan,1
duanya,1
dukung,1
dukungan,1
durian runtuh,1
dzikir,1
edukasi,1
edukatif,1
efektif,1
efektivitas,1
efisien,1
egois,1
ekonomis,1
ekspres,1
ekstase,1
elastis,1
elegan,1
elite,1
elok,1
eloknya,1
emas,1
empati,1
enak,1
enak-enak,1
enchantingly,1
energi,1
enteng,1
ergonomis,1
esensial,1
estetik,1
estetis,1
etis,1
euforia,1
evaluasi,1
evaluatif,1
examplar,1
faedah,1
fajar,1
fakta,1
faktual,1
fantastis,1
fasih,1
fav,1
fave,1
favorit,1
fenomenal,1
final,1
firdaus,1
fitrah,1
fleksibel,1
fleksibilitas,1
futuristik,1
gagah,1
gaib,1
gainfully,1
gairah,1
gamblang,1
gampang,1
ganteng,1
gapai,1
gegap gempita,1
gembira,1
gembira luar biasa,1
gembira sekali,1
gemilang,1
gemuk,1
genius,1
genjot,1
gesit,1
giat,1
gigih,1
gilang-gemilang,1
gokil,1
gotong-royong,1
gratis,1
gunanya,1
gurih,1
habis,1
hadiah,1
hak istimewa,1
hak mutlak,1
hakikat,1
hakiki,1
halal,1
halal bihalal,1
halalbihalal,1
halus,1
handal,1
handier,1
hangat,1
happy,1
harapan,1
harapkan,1
harga diri,1
harga rendah,1
harmoni,1
harmonis,1
harmonisasi,1
harta,1
harum,1
hasil karya,1
hasil terbaik,1
hati,1
hati-hati,1
hebat,1
hemat,1
hemat biaya,1
hemat energi,1
heran,1
heroik,1
hibah,1
hibur,1
hidayah,1
hidmat,1
hidup,1
higienis,1
hikmah,1
hits,1
hoki,1
hore,1
horee,1
hormat,1
hormat-menghormati,1
hormati,1
hubungan,1
hujan es,1
humor,1
humoris,1
husnul khatimah,1
iba,1
ibadah,1
ideal,1
idealnya,1
idola,1
ihsan,1
ihtiar,1
ijtihad,1
ikhlas,1
ikhtiar,1
ikhwan,1
iktikad,1
ilahi,1
ilmiah,1
ilu,1
imajinatif,1
iman,1
impresif,1
imut,1
imut-imut,1
indah,1
individual,1
infalibilitas,1
informatif,1
inisiatif,1
inovasi,1
inovatif,1
inovator,1
insaf,1
insan,1
insan kamil,1
insentif,1
inspirasi,1
inspirasional,1
inspiratif,1
instrumental,1
insya allah,1
integral,1
integritas,1
intelek,1
intelektual,1
inteligensi,1
inteligensia,1
intelijen,1
intensif,1
intim,1
intrik,1
intuitif,1
irama,1
iri,1
irit,1
islami,1
istikharah,1
istimewa,1
istiqamah,1
isyarat,1
itikad,1
itikaf,1
izin,1
jago,1
jagoan,1
jaminan,1
jaminan mutu,1
jangan dulu,1
janji,1
jawa,1
jawaban,1
jelas,1
jelaskan,1
jempol,1
jempolan,1
jenaka,1
jenius,1
juara,1
jujur,1
kagum,1
kaji,1
kamil,1
kampiun,1
kanan,1
kapabel,1
karib,1
karisma,1
karismatik,1
karunia,1
karya,1
kasih,1
kasih sayang,1
kaya,1
kaya fitur,1
keadaan yg sebenarnya,1
keadilan,1
keagungan,1
keajaiban,1
keakraban,1
keanggunan,1
keangkeran,1
keaslian,1
kebahagiaan,1
kebaikan,1
kebajikan,1
kebal,1
kebanggaan,1
kebangkitan,1
kebaruan,1
kebebasan,1
kebenaran,1
keberanian,1
keberhasilan,1
keberlanjutan,1
kebersamaan,1
kebersihan,1
keberuntungan,1
kebesaran,1
kebetulan,1
kebijaksanaan,1
kebulatan suara,1
kebulatan tekad,1
kecakapan,1
kecantikan,1
kecekatan,1
kecemerlangan,1
kecepatan,1
kecerdasan,1
kecerdikan,1
keelokan,1
keemasan,1
keenakan,1
kegairahan,1
kegembiraan,1
kegembiraan yg meluap-luap,1
kegemilangan,1
kegeniusan,1
kegigihan,1
kehangatan,1
kehebatan,1
keheranan,1
kehormatan,1
keikhlasan,1
keindahan,1
keinginan,1
keintiman,1
keistimewaan,1
kejayaan,1
kejelasan,1
kejeniusan,1
kejujuran,1
kekaguman,1
kekal,1
kekalahan,1
kekasih,1
kekeluargaan,1
kekencangan,1
kekhidmatan,1
kekhusukan,1
kekhusyukan,1
kelancaran,1
kelancaran berbicara,1
kelangsungan hidup,1
kelapangan,1
kelas atas,1
kelas satu,1
kelas utama,1
kelayakan,1
kelebihan,1
kelembutan,1
kelezatan,1
kelimpahan,1
kelincahan,1
kelip redup,1
kelucuan,1
keluwesan,1
kemajuan,1
kemakmuran,1
kemampuan,1
kemandirian,1
kemantapan,1
kemasyhuran,1
kematangan,1
kemauan baik,1
kemegahan,1
kemenangan,1
kemeriahan,1
kemewahan,1
kemudahan,1
kemuliaan,1
kemurahan hati,1
kenangan,1
kenikmatan,1
kenyamanan,1
kepanjangan akal daya,1
kepedulian,1
kepentingan,1
kepercayaan,1
keperkasaan,1
kepincut,1
kepuasan,1
kepuasan diri,1
keramahan,1
keramat,1
keranjingan,1
kerelaan,1
keren,1
kerendahan hati,1
keriangan,1
keridaan,1
keridhaan,1
keridhoan,1
keridoan,1
keriuhan di pawai,1
kerja,1
kerubin,1
kerukunan,1
kesabaran,1
kesalehan,1
kesanggupan,1
kesatuan,1
kesayangan,1
kesehatan,1
kesejahteraan,1
keselarasan,1
kesembronoan,1
kesempurnaan,1
kesenangan,1
kesepakatan,1
kesesuaian,1
kesetiaan,1
keshalehan,1
kesinambungan,1
kesopanan,1
kestabilan,1
kesucian,1
kesukaan,1
kesuksesan,1
kesungguhan,1
ketaatan,1
ketabahan,1
ketajaman,1
ketawakalan,1
ketegarab,1
ketegasan,1
keteguhan,1
ketekunan,1
keteladanan,1
ketenangan,1
ketenaran,1
ketentraman,1
keterbukaan,1
ketercocokan,1
ketertiban,1
ketidakberpihakan,1
ketrampilan,1
ketulusan,1
keuletan,1
keunggulan,1
keuntungan,1
kewajiban,1
kewaspadaan,1
kewenangan,1
keyakinan,1
kharisma,1
kharismatik,1
khidmat,1
khusus,1
khusyuk,1
kilau,1
klarifikasi,1
klasik,1
koheren,1
koherensi,1
kokoh,1
kolaborasi,1
komersial,1
komfortabel,1
komitmen,1
kompak,1
kompatibel,1
kompeten,1
kompetensi,1
kompetitif,1
komplementer,1
komplet,1
komprehensif,1
komunikasi,1
komunikatif,1
kondusif,1
konfirmasi,1
konform,1
konkret,1
konsisten,1
konsistensi,1
konstan,1
konstruktif,1
kontinu,1
kontinuitas,1
kontras,1
kontribusi,1
kooperatif,1
koordinasi,1
koperasi,1
korek api,1
kreasi,1
kreatif,1
kreativitas,1
kualitas tinggi,1
kuasa,1
kuat,1
kue panas,1
kukuh,1
kurus,1
lagu,1
lailatul kadar,1
lailatul qadar,1
lailatulkadar,1
lailatulqadar,1
lancar,1
landasan,1
langgeng,1
langsing,1
lapang,1
laporkan,1
laudably,1
layak,1
lebih baik,1
lebih baik dari perkiraan,1
lebih cemerlang dari,1
lebih cepat,1
lebih dikenal,1
lebih disukai,1
lebih hangat,1
lebih kencang,1
lebih keras,1
lebih memilih,1
lebih murah,1
lebih suka,1
lebih tenang,1
ledakan,1
lega,1
legal,1
legenda,1
legendaris,1
leluasa,1
lemah lembut,1
lembut,1
lerai,1
lezat,1
licin,1
lincah,1
liris,1
logis,1
lolos,1
loyal,1
loyalitas,1
luar biasa,1
luas,1
lucu,1
luhur,1
lulus,1
lumayan,1
lunas,1
luwes,1
maaf,1
mabrur,1
mahal,1
mahir,1
main-main,1
maju,1
makan,1
makanan,1
makmur,1
malaikat,1
mampu,1
mandiri,1
manfaat,1
manis,1
manis sekali,1
manja,1
manjur,1
mantab,1
mantap,1
manusiawi,1
mapan,1
martabat,1
master,1
masuk akal,1
masukan,1
masyhur,1
matang,1
mati-matian,1
mau kalah,1
mawas,1
megah,1
mekar,1
melampaui,1
melancarkan,1
melanggengkan,1
melapangkan,1
melaporkan,1
melebihi,1
melegakan,1
melengkapi,1
melerai,1
meleraikan,1
melestarikan,1
melezatkan,1
melindungi,1
meluhurkan,1
melunasi,1
meluruskan,1
memaafkan,1
memadai,1
memahami,1
memajukan,1
memakmurkan,1
memanggil,1
memantapkan,1
memastikan,1
mematuhi,1
membaguskan,1
membahagiakan,1
membaik,1
membalas budi,1
membandingi keindahan puisi,1
membanggakan,1
membangkitkan,1
membangun,1
membantu,1
membara,1
membawa revolusi,1
membayar,1
membebaskan,1
membenahi,1
memberanikan,1
memberbaiki,1
memberdayakan,1
memberi kesempatan,1
memberikan kesempatan,1
memberkati,1
membesarkan,1
membesarkan hati,1
membesut,1
membetulkan,1
membiasakan,1
membuat lebih baik dr,1
membudayakan,1
membujuk,1
membuktikan,1
membulatkan hati,1
membulatkan tekad,1
memelihara,1
memeluk,1
memenagkan,1
memenangkan,1
memenuhi,1
memenuhi persyaratan,1
memenuhi syarat,1
memerdekakan,1
memeriahkan,1
memfavoritkan,1
memihak,1
memikat,1
memikat hati,1
memimpin,1
memopulerkan,1
memotivasi,1
memperaman,1
memperbagus,1
memperbaiki,1
memperbaiki akhlak,1
memperbantukan,1
memperbarui,1
mempercanggih,1
mempercantik,1
mempercayakan,1
mempercerdas,1
memperdamai,1
mempererat,1
memperhatikan,1
memperindah,1
memperjelas,1
memperkaya,1
memperkuat,1
memperlancar,1
memperlapang,1
mempermanis,1
mempermudah,1
memperoleh kembali,1
mempersatukan,1
mempersiapkan,1
mempersolid,1
mempersukses,1
mempertampan,1
mempertemukan,1
mempertimbangkan,1
mempesona,1
memuaskan,1
memudahkan,1
memuja,1
memujanya,1
memuji,1
memuji-muji,1
memuji-muji terlebih-lebihan,1
memukau,1
memuliakan,1
memulihkan,1
memurnikan,1
memusyawarahkan,1
menaati,1
menakjubkan,1
menambah,1
menang,1
menantang,1
menarik,1
menariknya,1
menauladani,1
menawan,1
mencengangkan,1
mencerahkan,1
mencerdaskan,1
menceriakan,1
mencintai,1
mencukupi,1
mendalam,1
mendamaikan,1
mendapat tempat,1
mendapatkan,1
mendayagunakan,1
mendayaupayakan,1
mendebarkan,1
mendewakan,1
mendominasi,1
mendonasikan,1
mendonorkan,1
mendorong,1
mendukung,1
menebus,1
menegakkan,1
menegaskan,1
menegaskan lagi,1
meneladani,1
menenangkan,1
menengahi,1
menentramkan,1
menentukan,1
menepati,1
menerangi,1
menerangkan,1
menerima,1
menerobos,1
menertibkan,1
menetapkan,1
mengagetkan,1
mengagumi,1
mengagumkan,1
mengagungkan,1
mengakali,1
mengakrabkan,1
mengaku,1
mengakurkan,1
mengalahkan,1
mengamankan,1
mengandalkan,1
menganggap,1
mengangkat,1
menganjurkan,1
mengantisipasi,1
menganugerahi,1
menganugrahi,1
menganugrahkan,1
mengasah,1
mengasyikan,1
mengasyikkan,1
mengatasi,1
mengecoh,1
mengedukasi,1
mengedukasikan,1
mengefektifkan,1
mengejutkan,1
mengerti,1
mengesahkan,1
mengesankan,1
menggairahkan,1
menggalakkan,1
menggapai,1
menggelenyar,1
menggelikan,1
menggelitik,1
menggemaskan,1
menggembirakan,1
menggemparkan,1
menggenjotkan,1
menggetarkan,1
menggiatkan,1
menggiurkan,1
menggoda,1
menggugah,1
menghadiahkan,1
menghadiri,1
menghaluskan,1
menghargai,1
mengharmoniskan,1
mengharu biru,1
mengharukan,1
mengharumkan,1
menghayati,1
menghemat,1
menghentikan,1
mengherankan,1
menghibur,1
menghidupkan,1
menghijaukan,1
menghormat,1
menghormati,1
mengidealkan,1
mengidolakan,1
mengilhami,1
mengimbangi,1
mengingatkan,1
menginginkan,1
menginovasikan,1
menginsafi,1
menginsafkan,1
menginspirasi,1
menginspirasikan,1
mengisi,1
mengisyaratkan,1
mengokohkan,1
mengoptimalkan,1
menguasai,1
mengucapkan selamat,1
mengukuhkan,1
mengulurkan tangan,1
mengundang,1
mengungguli,1
mengungkap,1
mengungkap kasus,1
menguntungkan,1
mengupayakan,1
mengusahakan,1
menikmati,1
menimba ilmu,1
menimbulkan perasaan cinta,1
menimbulkan rasa antusias,1
menindak,1
menindaklanjuti,1
meninggikan,1
meningkat,1
meningkatkan,1
menitipkan,1
menjadi sama,1
menjaga,1
menjamin,1
menjanjikan,1
menjaring,1
menjawab,1
menjembatani,1
menjernihkan,1
menjinakkan,1
menjiwai,1
menolong,1
menonjol,1
menstabilkan,1
mensucikan,1
mensyukuri,1
mentaati,1
mentereng,1
menunaikan,1
menunjang,1
menunjukkan gejala,1
menuntun,1
menurut hak,1
menyadari,1
menyadarkan,1
menyalip,1
menyambut,1
menyanjung,1
menyaring,1
menyayangi,1
menyederhanakan,1
menyegarkan,1
menyeimbangkan,1
menyelamatkan,1
menyelaraskan,1
menyelesaikan,1
menyembuhkan,1
menyenangkan,1
menyerahkan,1
menyeringai,1
menyesuaikan,1
menyetujui,1
menyinergikan,1
menyingkronkan,1
menyingsingkan,1
menyinkronkan,1
menyolok,1
menyubsidi,1
menyucikan,1
menyukai,1
menyukseskan,1
menyusul,1
merahmati,1
meraih,1
merampungkan,1
merangkul,1
merangsang,1
merapihkan,1
merapikan,1
merawat,1
merayakan,1
merayu,1
merdu,1
mereda,1
mereformasi,1
merekomendasikan,1
merelakan,1
meremajakan,1
merendahkan,1
merenung,1
merenungi,1
merenungkan,1
merestui,1
merevitalisasi,1
merevolusi,1
merevolusionerkan,1
meriah,1
meriangkan,1
meridai,1
meridhai,1
meridhoi,1
meridoi,1
meringankan,1
merohmati,1
meromantiskan,1
merukunkan,1
mewah,1
meyakinkan,1
minim resiko,1
minta maaf,1
modern,1
modis,1
momentum,1
montok,1
monumental,1
moralitas,1
motivasi,1
muda,1
mudah,1
mudah digunakan,1
mudah-mudahan,1
mufakat,1
mujarab,1
mujur,1
mukjizat,1
mulia,1
multi fungsi,1
multi guna,1
multifungsi,1
multiguna,1
mulus,1
mumpuni,1
murah,1
murah banget,1
murah hati,1
murni,1
mustajab,1
musyawarah,1
mutakhir,1
naik,1
nasib,1
ngetop,1
ngetren,1
nikmat,1
nilai tambah,1
nomor wahid,1
non-kekerasan,1
normal,1
nyaman,1
nyaring,1
obat untuk segala penyakit,1
objektif,1
obsesi,1
obyektif,1
ok,1
optimal,1
optimis,1
optimisme,1
optimistis,1
orisinal,1
orisinalitas,1
orisinil,1
otoriter,1
padat,1
pahlawan,1
pahlawan wanita,1
pakar,1
paling beruntung,1
paling dikenal,1
panas,1
pandai,1
pandai berbicara,1
panorama,1
pantas,1
panutan,1
pasien,1
pasti,1
pasukan,1
pasukan penjaga perdamaian,1
patriot,1
patriotik,1
patroli,1
patuh,1
pedih,1
peduli,1
pegangan,1
pejuang,1
peka,1
pekerti,1
pelamun,1
pelancaran,1
pelayanan,1
peleraian,1
pelestarian,1
pelindung,1
pelipur,1
pelonggaran,1
pemaaf,1
pemantapan,1
pembangunan negara,1
pembangunan umat,1
pembaruan,1
pembebasan,1
pembela,1
pembenahan,1
pemberdayaan,1
pemberian Tuhan,1
pembersih,1
pembetulan,1
pembulatan tekad,1
pemecah masalah,1
pemenang,1
pemenuhan,1
pemeriksaan,1
pemersatu,1
pemersatuan,1
pemulihan,1
penampilan terbaik,1
pencari ilmu,1
pencarian,1
pencerahan,1
pencinta,1
pendewaan,1
pendidik,1
pendonasian,1
pendonor,1
pendukung,1
penebusan,1
penegakan,1
penegasan kembali,1
penemu,1
penengah,1
penentuan nasib sendiri,1
penerang,1
penerima,1
pengagum,1
pengampunan,1
pengangkatan,1
pengantisipasian,1
penganugerahan,1
pengaruh,1
pengasih,1
pengasuhan,1
pengembalian dana,1
pengembangan,1
pengertian,1
penggalakan,1
penggemar,1
penggiatan,1
penggugah,1
penghargaan,1
penghemat,1
penghematan,1
penghematan biaya,1
penghiburan,1
penghijauan,1
penghormatan,1
pengoptimalan,1
penguasaan,1
peninggian derajat,1
peningkatan,1
penipu,1
penjelasan,1
penjernihan,1
penjualan terbaik,1
penolong,1
penstabilan,1
penting,1
penuh,1
penuh gaya,1
penuh harapan,1
penuh kasih,1
penuh kebahagiaan,1
penuh kebajikan,1
penuh kegembiraan,1
penuh kepercayaan,1
penuh pengharapan,1
penuh perasaan,1
penuh perhatian,1
penuh peristiwa,1
penuh semangat,1
penuh sukacita,1
penuntun,1
penurut,1
penyabar,1
penyantun,1
penyantunan,1
penyatuan,1
penyayang,1
penyelamat,1
penyuburan,1
penyuksesan,1
peraih,1
peran kunci,1
perasaan kagum,1
perasaan suka cita,1
perayaan,1
perbaikan,1
perbedaan,1
percaya,1
perdamaian,1
perdana menteri,1
perhatian,1
periang,1
perjanjian,1
perkembangan,1
perlawanan,1
perlindungan,1
permai,1
permata,1
persahabatan,1
persaudaraan,1
persetujuan,1
persik,1
personalisasi,1
pertama di kelas,1
pertaubatan,1
pertobatan,1
pertolongan,1
pertumbuhan,1
pertumbuhan tercepat,1
perundingan,1
pesona,1
petualang,1
petunjuk,1
piala,1
pikiran-bertiup,1
pilih,1
pilihan,1
pintar,1
plus,1
populer,1
portabel,1
positif,1
potensi,1
potensial,1
praktis,1
preferensi,1
preseden,1
presisi,1
prestasi,1
prestise,1
prestisius,1
prima,1
primadona,1
prioritas,1
pro,1
proaktif,1
prodigi,1
produktif,1
profesional,1
profit,1
progresif,1
promotor,1
proporsional,1
prospektif,1
proteksi,1
puas,1
puitis,1
pujian,1
pukulan yg tdk keras,1
pulih,1
puncak,1
rahman,1
rahmat,1
rajin,1
rak,1
ramah,1
ramah tamah,1
rampung,1
rangsang,1
rapi,1
rapih,1
rasa hormat,1
rasa manis,1
rasional,1
rasul,1
rata,1
realisasi,1
realistis,1
reformasi,1
rekomendasi,1
rekonsiliasi,1
rela,1
relawan,1
relevan,1
relevansi,1
relevansinya,1
reliabel,1
relokasi,1
renungan,1
reputasi,1
reseptif,1
resiko rendah,1
resmi,1
responsif,1
restrukturisasi,1
revitalisasi,1
revolusioner,1
rezeki,1
ria gembira,1
riang,1
rida,1
ridha,1
ridho,1
rido,1
rileks,1
ringan,1
ringkas,1
riset,1
rohani,1
rohmat,1
rokstar,1
romantis,1
rujuk,1
rukun,1
rumit,1
rupawan,1
sabar,1
sadar,1
sah,1
sakinah,1
saksama,1
saleh,1
salehah,1
saling tegur,1
salut,1
sangat,1
sangat baik,1
sangat berharga,1
sangat indah,1
sangat memuaskan,1
sangat menarik,1
sangat menyayangi,1
sangat mudah,1
sangat penting,1
sangat rajin,1
sangat sopan,1
sangat tepat,1
sanggup,1
sangkal,1
sanjungan,1
santun,1
sarankan,1
satu padu,1
sayang,1
sayang anak,1
sebaik-baiknya,1
sebesar mungkin,1
secara kuat,1
secara menyenangkan,1
secara terbuka,1
secepatnya,1
sederhana,1
seefektif,1
segar,1
segera,1
sehat,1
seimbang,1
sejalan,1
seksi,1
selamat,1
selaras,1
selayaknya,1
selektif,1
selesai,1
